config	pps	rep	delivered	cpu_s_all	cpu_per_pkt	pct_cpu	lat_p50	lat_p95	lat_p99	lat_max
A_upfd 	50000	1	299882	10.2004	3.4015e-05	28.33	1.230	1.590	2.020	2.230
B_xdp  	50000	1	299877	8.9715	2.9917e-05	24.92	1.120	1.500	2.070	2.290
A_upfd 	50000	2	296816	11.9749	4.0345e-05	33.26	1.300	4.270	9.740	10.200
B_xdp  	50000	2	299880	8.5415	2.8483e-05	23.73	1.150	1.600	1.950	2.330
A_upfd 	50000	3	299369	10.1689	3.3968e-05	28.25	1.260	2.180	3.110	3.600
B_xdp  	50000	3	299882	8.8187	2.9407e-05	24.50	1.150	1.640	2.030	2.250
A_upfd 	100000	1	598617	12.2871	2.0526e-05	34.13	1.240	1.850	3.020	3.360
B_xdp  	100000	1	597804	10.9281	1.8280e-05	30.36	1.090	1.830	4.320	5.370
A_upfd 	100000	2	598526	12.5453	2.0960e-05	34.85	1.190	1.870	3.510	5.020
B_xdp  	100000	2	599280	10.1493	1.6936e-05	28.19	1.080	1.510	2.250	4.800
A_upfd 	100000	3	587976	13.7327	2.3356e-05	38.15	1.280	2.660	8.280	36.200
B_xdp  	100000	3	599463	10.4124	1.7370e-05	28.92	1.120	1.630	2.060	2.620
