mode	pps_offered	rep	delivered	dur	cpu_s_all	cpu_per_pkt_all	pct_cpu_all	cpu_s_fwd	cpu_per_pkt_fwd	cycles_per_pkt
native	100000	1	590646	6	7.1683	1.2136e-05	19.91	1.2953	2.1931e-06	NA
native	100000	2	589064	6	7.1053	1.2062e-05	19.74	1.2709	2.1576e-06	NA
native	100000	3	589475	6	7.0370	1.1938e-05	19.55	1.1634	1.9736e-06	NA
native	300000	1	1768959	6	6.9661	3.9380e-06	19.35	1.1188	6.3247e-07	NA
native	300000	2	1774358	6	6.9383	3.9103e-06	19.27	1.0700	6.0304e-07	NA
native	300000	3	1773994	6	6.8907	3.8843e-06	19.14	1.0304	5.8083e-07	NA
generic	100000	1	592827	6	7.4620	1.2587e-05	20.73	1.5669	2.6432e-06	NA
generic	100000	2	590859	6	7.0340	1.1905e-05	19.54	1.1743	1.9875e-06	NA
generic	100000	3	590861	6	7.0082	1.1861e-05	19.47	1.1641	1.9702e-06	NA
generic	300000	1	1771443	6	6.9543	3.9258e-06	19.32	1.1207	6.3263e-07	NA
generic	300000	2	1776243	6	7.0055	3.9440e-06	19.46	1.1485	6.4660e-07	NA
generic	300000	3	1764504	6	7.3981	4.1927e-06	20.55	1.6430	9.3115e-07	NA
plain	100000	1	590655	6	7.3737	1.2484e-05	20.48	1.4896	2.5220e-06	NA
plain	100000	2	586708	6	7.0969	1.2096e-05	19.71	1.2578	2.1439e-06	NA
plain	100000	3	589767	6	6.8826	1.1670e-05	19.12	1.0013	1.6978e-06	NA
plain	300000	1	1769122	6	6.8143	3.8518e-06	18.93	1.0661	6.0264e-07	NA
plain	300000	2	1770949	6	7.0159	3.9617e-06	19.49	1.2257	6.9211e-07	NA
plain	300000	3	1770662	6	7.0501	3.9816e-06	19.58	1.1527	6.5100e-07	NA
