engine	n_rules	rep	delivered	cpu_s_all	cpu_per_pkt_all	pct_cpu
xdp_hash	1	1	590729	7.4057	1.2536e-05	20.57
xdp_hash	1	2	591874	6.9543	1.1750e-05	19.32
xdp_hash	1	3	589595	7.0510	1.1959e-05	19.59
xdp_hash	100	1	592015	7.3940	1.2490e-05	20.54
xdp_hash	100	2	591784	7.0828	1.1969e-05	19.67
xdp_hash	100	3	590743	7.4814	1.2664e-05	20.78
xdp_hash	1000	1	589476	7.4674	1.2668e-05	20.74
xdp_hash	1000	2	589800	6.8968	1.1693e-05	19.16
xdp_hash	1000	3	592061	6.9783	1.1786e-05	19.38
xdp_hash	10000	1	590473	6.8619	1.1621e-05	19.06
xdp_hash	10000	2	590170	6.8689	1.1639e-05	19.08
xdp_hash	10000	3	591158	7.6370	1.2919e-05	21.21
nft_linear	1	1	590083	7.2357	1.2262e-05	20.10
nft_linear	1	2	589808	7.1703	1.2157e-05	19.92
nft_linear	1	3	589864	7.3091	1.2391e-05	20.30
nft_linear	100	1	591283	7.2398	1.2244e-05	20.11
nft_linear	100	2	591571	6.9463	1.1742e-05	19.30
nft_linear	100	3	589208	6.9078	1.1724e-05	19.19
nft_linear	1000	1	587274	7.1582	1.2189e-05	19.88
nft_linear	1000	2	588867	6.9155	1.1744e-05	19.21
nft_linear	1000	3	589873	7.0275	1.1914e-05	19.52
nft_linear	10000	1	168284	7.0590	4.1947e-05	19.61
nft_linear	10000	2	173845	6.9572	4.0020e-05	19.33
nft_linear	10000	3	172602	6.8586	3.9736e-05	19.05
